Source,Text,GT,NLTK,Transformers,TextLength
amazon,So there is no way for me to plug it in here in the US unless I go by a converter.	,0,-0.3535,-0.9994086027145386,83
amazon,"Good case, Excellent value.	",1,0.8402,0.9998685121536255,28
amazon,Great for the jawbone.	,1,0.6249,0.9997795820236206,23
amazon,Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!	,0,-0.6145,-0.9994041919708252,80
amazon,The mic is great.	,1,0.6249,0.9998689889907837,18
amazon,I have to jiggle the plug to get it to line up right to get decent volume.	,0,0.0,-0.992211103439331,75
amazon,"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.	",0,0.5106,-0.9742348194122314,112
amazon,If you are Razr owner...you must have this!	,1,0.0,0.8993064761161804,44
amazon,"Needless to say, I wasted my money.	",0,-0.4939,-0.9997862577438354,36
amazon,What a waste of money and time!.	,0,-0.4753,-0.9997710585594177,33
amazon,And the sound quality is great.	,1,0.6249,0.999884307384491,32
amazon,He was very impressed when going from the original battery to the extended battery.	,1,0.6901,0.999623715877533,84
amazon,If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.	,0,0.0,-0.9996830821037292,115
amazon,Very good quality though	,1,0.4927,0.9998700022697449,25
amazon,"The design is very odd, as the ear ""clip"" is not very comfortable at all.	",0,-0.6717,-0.9990793466567993,74
amazon,Highly recommend for any one who has a blue tooth phone.	,1,0.4201,0.9993906617164612,57
amazon,I advise EVERYONE DO NOT BE FOOLED!	,0,0.4622,0.9989242553710938,36
amazon,So Far So Good!.	,1,0.0,0.9998415112495422,17
amazon,Works great!.	,1,0.0,0.9998714923858643,14
amazon,It clicks into place in a way that makes you wonder how long that mechanism would last.	,0,0.0,0.9936351776123047,88
amazon,"I went on Motorola's website and followed all directions, but could not get it to pair again.	",0,0.0,-0.9991279244422913,94
amazon,I bought this to use with my Kindle Fire and absolutely loved it!	,1,0.474,0.9998757839202881,66
amazon,The commercials are the most misleading.	,0,-0.4576,-0.9991960525512695,41
